kappa,gamma,method,mode,eigenvalue,spectral_radius,stationary_squared_tracking_error,lyapunov_max_abs_residual
10.0,0.1,hb,3,1.1513953993264474,0.9486832980505139,0.0010157421598080566,6.098637220230962e-20
10.0,0.1,hb,4,1.2067926406393286,0.9486832980505139,0.0010172333345417838,9.825582188149884e-20
10.0,0.1,hb,5,1.264855216855296,0.9486832980505139,0.0010188049589995745,6.098637220230962e-20
10.0,0.1,hb,6,1.3257113655901092,0.9486832980505138,0.0010204612460801208,1.1519648082658485e-19
10.0,0.1,hb,7,1.3894954943731377,0.9486832980505138,0.001022206674065663,7.453889935837843e-20
10.0,0.1,hb,8,1.4563484775012439,0.948683298050514,0.0010240460050913477,1.6263032587282567e-19
10.0,0.1,hb,9,1.5264179671752334,0.948683298050514,0.0010259843052272011,3.7269449679189215e-20
10.0,0.1,hb,10,1.599858719606058,0.9486832980505139,0.0010280269663379257,3.3881317890172014e-20
10.0,0.1,hb,11,1.676832936811008,0.948683298050514,0.0010301797299057285,1.2874900798265365e-19
10.0,0.1,hb,12,1.7575106248547918,0.9486832980505139,0.001032448713024147,6.776263578034403e-20
10.0,0.1,hb,13,1.842069969326716,0.9486832980505139,0.0010348404367967455,5.421010862427522e-20
10.0,0.1,hb,14,1.93069772888325,0.9486832980505138,0.0010373618574041898,1.3552527156068805e-20
10.0,0.1,hb,15,2.023589647725157,0.9486832980505139,0.0010400204001370752,2.710505431213761e-20
10.0,0.1,hb,16,2.120950887920191,0.9486832980505137,0.0010428239967307238,3.3881317890172014e-20
10.0,0.1,hb,17,2.2229964825261948,0.9486832980505138,0.001045781126382856,4.0657581468206416e-20
10.0,0.1,hb,18,2.329951810515372,0.9486832980505139,0.0010489008608863932,1.0164395367051604e-19
10.0,0.1,hb,19,2.442053094548651,0.9486832980505139,0.0010521929143690325,9.486769009248164e-20
10.0,0.1,hb,20,2.5595479226995357,0.9486832980505137,0.0010556676981998592,2.0328790734103208e-20
10.0,0.1,hb,21,2.6826957952797255,0.9486832980505138,0.0010593363817028652,1.4230153513872246e-19
10.0,0.1,hb,22,2.8117686979742302,0.9486832980505139,0.0010632109594097662,1.8295911660692887e-19
10.0,0.1,hb,23,2.9470517025518106,0.9486832980505139,0.001067304325692395,6.098637220230962e-20
10.0,0.1,hb,24,3.088843596477481,0.948683298050514,0.0010716303577409094,1.4907779871675686e-19
10.0,0.1,hb,25,3.237457542817644,0.9486832980505139,0.0010762040080017968,1.7618285302889447e-19
10.0,0.1,hb,26,3.393221771895328,0.9486832980505139,0.0010810414073631155,5.421010862427522e-20
10.0,0.1,hb,27,3.5564803062231287,0.9486832980505137,0.0010861599805789904,6.776263578034403e-20
10.0,0.1,hb,28,3.72759372031494,0.9486832980505139,0.0010915785756670975,4.0657581468206416e-20
10.0,0.1,hb,29,3.906939937054617,0.948683298050514,0.001097317609299644,4.0657581468206416e-20
10.0,0.1,hb,30,4.094915062380425,0.948683298050514,0.0011033992305494763,2.168404344971009e-19
10.0,0.1,hb,31,4.2919342601287775,0.9486832980505139,0.0011098475057602975,2.710505431213761e-20
10.0,0.1,hb,32,4.498432668969445,0.9486832980505139,0.001116688627798022,8.131516293641283e-20
10.0,0.1,hb,33,4.714866363457394,0.9486832980505139,0.001123951153527259,5.421010862427522e-20
10.0,0.1,hb,34,4.941713361323834,0.9486832980505139,0.0011316662740656232,1.2197274440461925e-19
10.0,0.1,hb,35,5.17947467923121,0.9486832980505138,0.0011398681232275875,1.8973538018496328e-19
10.0,0.1,hb,36,5.428675439323859,0.9486832980505139,0.0011485941306154086,1.0842021724855044e-19
10.0,0.1,hb,37,5.689866029018296,0.9486832980505137,0.0011578854270933193,9.486769009248164e-20
10.0,0.1,hb,38,5.963623316594643,0.948683298050514,0.0011677873119519191,1.3552527156068805e-19
10.0,0.1,hb,39,6.250551925273971,0.948683298050514,0.0011783497930084224,8.131516293641283e-20
10.0,0.1,hb,40,6.551285568595508,0.9486832980505138,0.0011896282132936038,1.0842021724855044e-19
10.0,0.1,hb,41,6.866488450043,0.948683298050514,0.001201683980976,1.8973538018496328e-19
10.0,0.1,hb,42,7.196856730011519,0.9486832980505139,0.0012145854229360473,1.8973538018496328e-19
10.0,0.1,hb,43,7.543120063354617,0.9486832980505137,0.0012284087871489568,1.3552527156068805e-19
10.0,0.1,hb,44,7.906043210907698,0.948683298050514,0.0012432394250598093,1.8973538018496328e-19
10.0,0.1,hb,45,8.286427728546842,0.9486832980505138,0.00125917319283205,1.6263032587282567e-19
10.0,0.1,hb,46,8.685113737513525,0.9486832980505138,0.0012763181202538596,1.8973538018496328e-19
10.0,0.1,hb,47,9.102981779915218,0.9486832980505139,0.0012947964089213078,2.710505431213761e-19
10.0,0.1,hb,48,9.54095476349994,0.9486832980505139,0.0013147468380790396,2.710505431213761e-19
10.0,0.1,hb,49,10.0,0.9486832980505137,0.0013363276785714293,2.168404344971009e-19
10.0,0.1,nag,0,1.0,0.8999999999999999,0.0005333804500598089,4.0657581468206416e-20
10.0,0.1,nag,1,1.0481131341546857,0.8975911195672994,0.0005221870037897221,1.0842021724855044e-19
10.0,0.1,nag,2,1.0985411419875581,0.89505938195246,0.0005109864174282167,8.809142651444724e-20
10.0,0.1,nag,3,1.1513953993264474,0.8923981253121389,0.0004997914228287719,1.3552527156068805e-20
10.0,0.1,nag,4,1.2067926406393286,0.8896002823417156,0.0004886148009264555,6.437450399132683e-20
10.0,0.1,nag,5,1.264855216855296,0.8866583504840087,0.0004774693297421894,1.3552527156068805e-20
10.0,0.1,nag,6,1.3257113655901092,0.8835643593405575,0.00046636773315607126,1.3552527156068805e-20
10.0,0.1,nag,7,1.3894954943731377,0.8803098349481379,0.0004553226310099953,7.453889935837843e-20
10.0,0.1,nag,8,1.4563484775012439,0.8768857605326293,0.000444346491094512,6.776263578034403e-21
10.0,0.1,nag,9,1.5264179671752334,0.8732825332927648,0.0004334515835636487,6.776263578034403e-20
